family,libr,branch,x,y,z,vx,vy,vz,jacobi,period,stability,target_jacobi,jacobi_diff
vertical,4.0,, 7.6835020353348571e-01, 4.2544999999999999e-01, 4.7470402829216468e-01, 5.3947005633173184e-01,-1.5936774212368048e+00, 5.5285286366611008e-01,-0.368536258968995,6.310297860176115,1.00276632396446,-0.36861345770785153,7.719873885653206e-05
vertical,4.0,, 7.7682851344202120e-01, 4.2544999999999999e-01, 4.5885807052932071e-01, 4.0406303858688292e-01,-1.4912069793006060e+00, 6.9955807095937894e-01,-0.093109568632653,6.309409260950102,1.00342826093156,-0.0932037066118101,9.413797915709676e-05
vertical,4.0,, 7.7807743560234133e-01, 4.2544999999999999e-01, 4.5513991206169041e-01, 2.9269815088233736e-01,-1.3764790434686300e+00, 7.8995647866967045e-01,0.182328802498152,6.3083896669003705,1.00401259167364,0.1822060444842314,0.00012275801392061525
vertical,4.0,, 7.7451976762055819e-01, 4.2544999999999999e-01, 4.5979661304384811e-01, 1.9151405612924560e-01,-1.2549947458773425e+00, 8.4447477648214875e-01,0.457441493128141,6.30721471496449,1.00447951137906,0.45761579558027277,0.00017430245213179152
vertical,4.0,, 7.6631926051002641e-01, 4.2544999999999999e-01, 4.7221592433971538e-01, 9.4407934491581733e-02,-1.1274675078585459e+00, 8.7014103336810145e-01,0.732997931438401,6.3058494986000175,1.00476978405184,0.7330255466763141,2.761523791317e-05
vertical,4.0,, 7.5255794113051244e-01, 4.2544999999999999e-01, 4.9302684234089816e-01,-1.8193810570077014e-03,-9.9330071561161959e-01, 8.6864518066034990e-01,1.00825506505402,6.304259790476383,1.00478815175035,1.0084352977723556,0.0001802327183355601
vertical,4.0,, 7.3099214696942350e-01, 4.2544999999999999e-01, 5.2399419901048472e-01,-9.9961941811202729e-02,-8.4903949724448147e-01, 8.3808522240322125e-01,1.28375992476669,6.302398544258888,1.00438507130351,1.2838450488683972,8.512410170724571e-05
vertical,4.0,, 6.9698225171889172e-01, 4.2544999999999999e-01, 5.6838555752060393e-01,-2.0221964223892550e-01,-6.8714479968152331e-01, 7.7137803756714884e-01,1.55925956933847,6.300219074591477,1.00332032074162,1.5592547999644384,4.769374031710072e-06
vertical,4.0,, 6.3891964038363835e-01, 4.2544999999999999e-01, 6.3338764777407142e-01,-3.1073088790628428e-01,-4.8651604983496066e-01, 6.4806934253088289e-01,1.83466455106048,6.297676195424915,1.00120754589215,1.83466455106048,0.0
vertical,5.0,, 7.1672909141555352e-01,-4.2544999999999999e-01, 5.5205293022013469e-01,-8.4424548387234732e-01,-1.6119921286320584e+00,-1.3798318047100569e-01,-0.644023208803893,6.3110768063112905,1.00205251740511,-0.644023208803893,0.0
vertical,5.0,, 7.6835020353348571e-01,-4.2544999999999999e-01, 4.7470402829216468e-01,-5.3947005633173184e-01,-1.5936774212368048e+00,-5.5285286366611008e-01,-0.368536258968995,6.310297860176115,1.0027663239646,-0.36861345770785153,7.719873885653206e-05
vertical,5.0,, 7.7682851344202120e-01,-4.2544999999999999e-01, 4.5885807052932071e-01,-4.0406303858688292e-01,-1.4912069793006060e+00,-6.9955807095937894e-01,-0.093109568632653,6.309409260950102,1.0034282609311,-0.0932037066118101,9.413797915709676e-05
vertical,5.0,, 7.7807743560234133e-01,-4.2544999999999999e-01, 4.5513991206169041e-01,-2.9269815088233736e-01,-1.3764790434686300e+00,-7.8995647866967045e-01,0.182328802498152,6.3083896669003705,1.00401259167332,0.1822060444842314,0.00012275801392061525
vertical,5.0,, 7.7451976762055819e-01,-4.2544999999999999e-01, 4.5979661304384811e-01,-1.9151405612924560e-01,-1.2549947458773425e+00,-8.4447477648214875e-01,0.457441493128141,6.30721471496449,1.00447951137924,0.45761579558027277,0.00017430245213179152
vertical,5.0,, 7.6631926051002641e-01,-4.2544999999999999e-01, 4.7221592433971538e-01,-9.4407934491581733e-02,-1.1274675078585459e+00,-8.7014103336810145e-01,0.732997931438401,6.3058494986000175,1.00476978405244,0.7330255466763141,2.761523791317e-05
